"Item Name";"Type";"Parent";"Relation"
"Комплект СВЛ стд.#61";"Прямые компоненты";"Стандарт.#14";"Комплект СВЛ стд"
"ПЛ 40фт к Б25";"Изделия и компоненты";"Total";
"Стандарт.#15";"Варианты комплектации";"ПЛ 40фт к Б25";
"Тележка Б25.#62";"Прямые компоненты";"Стандарт.#15";"Тележка Б25"
"Комплект СВЛ стд.#64";"Прямые компоненты";"Стандарт.#15";"Комплект СВЛ стд"
"ПЛ 46фт Б25";"Изделия и компоненты";"Total";
"Стандарт.#110";"Варианты комплектации";"ПЛ 46фт Б25";
"Тележка Б25.#254";"Прямые компоненты";"Стандарт.#110";"Тележка Б25"
"ПЛ 40фт Y25";"Изделия и компоненты";"Total";
"Стандарт.#16";"Варианты комплектации";"ПЛ 40фт Y25";
"Тележка Y25.#65";"Прямые компоненты";"Стандарт.#16";"Тележка Y25"
"ПЛ 45фт Y25";"Изделия и компоненты";"Total";
"Стандарт.#111";"Варианты комплектации";"ПЛ 45фт Y25";
"ПЛ 60фт Y25";"Изделия и компоненты";"Total";
"ПЛ 80 соч DB";"Изделия и компоненты";"Total";
"Стандарт.#86";"Варианты комплектации";"ПЛ 80 соч DB";
"Тележка Y25.#180";"Прямые компоненты";"Стандарт.#86";"Тележка Y25"
"ПЛ 80 соч VTG";"Изделия и компоненты";"Total";
"Стандарт.#103";"Варианты комплектации";"ПЛ 80 соч VTG";
"Тележка Y25.#209";"Прямые компоненты";"Стандарт.#103";"Тележка Y25"
"ПВГ ЩЕП 211м Б25";"Изделия и компоненты";"Total";
"Стандарт.#85";"Варианты комплектации";"ПВГ ЩЕП 211м Б25";
"Тележка Б25.#178";"Прямые компоненты";"Стандарт.#85";"Тележка Б25"
"Комплект СВЛ стд.#179";"Прямые компоненты";"Стандарт.#85";"Комплект СВЛ стд"
"ВК 175м Б25";"Изделия и компоненты";"Total";
"Стандарт.#81";"Варианты комплектации";"ВК 175м Б25";
"Тележка Б25.#171";"Прямые компоненты";"Стандарт.#81";"Тележка Б25"
"Комплект СВЛ стд.#170";"Прямые компоненты";"Стандарт.#81";"Комплект СВЛ стд"
"ВС Думпкар 42м Б25";"Изделия и компоненты";"Total";
"Стандарт.#84";"Варианты комплектации";"ВС Думпкар 42м Б25";
"Тележка Б25.#176";"Прямые компоненты";"Стандарт.#84";"Тележка Б25"
"Комплект СВЛ стд.#177";"Прямые компоненты";"Стандарт.#84";"Комплект СВЛ стд"
"СК ВС Думпкар 30 м";"Изделия и компоненты";"Total";
"ЦИС пр чрн";"Изделия и компоненты";"Total";
"Стандарт.#88";"Варианты комплектации";"ЦИС пр чрн";
"Тележка Б25.#187";"Прямые компоненты";"Стандарт.#88";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#186";"Прямые компоненты";"Стандарт.#88";"Комплект СВЛ с УЗ01К"
"ЦИС сл чрн";"Изделия и компоненты";"Total";
"Стандарт.#95";"Варианты комплектации";"ЦИС сл чрн";
"Тележка Б25.#211";"Прямые компоненты";"Стандарт.#95";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#210";"Прямые компоненты";"Стандарт.#95";"Комплект СВЛ с УЗ01К"
"ЦИС пр нрж";"Изделия и компоненты";"Total";
"Стандарт.#105";"Варианты комплектации";"ЦИС пр нрж";
"Тележка Б25.#213";"Прямые компоненты";"Стандарт.#105";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#212";"Прямые компоненты";"Стандарт.#105";"Комплект СВЛ с УЗ01К"
"ЦИС сл нрж";"Изделия и компоненты";"Total";
"Стандарт.#106";"Варианты комплектации";"ЦИС сл нрж";
"Тележка Б25.#214";"Прямые компоненты";"Стандарт.#106";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#215";"Прямые компоненты";"Стандарт.#106";"Комплект СВЛ с УЗ01К"
"ЦИС толст";"Изделия и компоненты";"Total";
"Стандарт.#107";"Варианты комплектации";"ЦИС толст";
"Тележка Б25.#216";"Прямые компоненты";"Стандарт.#107";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#217";"Прямые компоненты";"Стандарт.#107";"Комплект СВЛ с УЗ01К"
"ЦИС крак Б25";"Изделия и компоненты";"Total";
"Стандарт.#19";"Варианты комплектации";"ЦИС крак Б25";
"Тележка Б25.#77";"Прямые компоненты";"Стандарт.#19";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#78";"Прямые компоненты";"Стандарт.#19";"Комплект СВЛ с УЗ01К"
"ЦИС мр нрж Б25";"Изделия и компоненты";"Total";
"Стандарт.#20";"Варианты комплектации";"ЦИС мр нрж Б25";
"Тележка Б25.#84";"Прямые компоненты";"Стандарт.#20";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#85";"Прямые компоненты";"Стандарт.#20";"Комплект СВЛ с УЗ01К"
"ЦИС мр чрн Б25";"Изделия и компоненты";"Total";
"ЦИС нб соч Б25";"Изделия и компоненты";"Total";
"Стандарт.#22";"Варианты комплектации";"ЦИС нб соч Б25";
"Тележка Б25.#90";"Прямые компоненты";"Стандарт.#22";"Тележка Б25"
"Комплект СВЛ стд.#91";"Прямые компоненты";"Стандарт.#22";"Комплект СВЛ стд"
"ЦИС хим нерж Б25";"Изделия и компоненты";"Total";
"Стандарт.#23";"Варианты комплектации";"ЦИС хим нерж Б25";
"Тележка Б25.#93";"Прямые компоненты";"Стандарт.#23";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#94";"Прямые компоненты";"Стандарт.#23";"Комплект СВЛ с УЗ01К"
"ЦИС бензол Б25";"Изделия и компоненты";"Total";
"ЦИС мет 1Т Б25";"Изделия и компоненты";"Total";
"Стандарт.#25";"Варианты комплектации";"ЦИС мет 1Т Б25";
"Тележка Б25.#99";"Прямые компоненты";"Стандарт.#25";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#100";"Прямые компоненты";"Стандарт.#25";"Комплект СВЛ с УЗ01К"
"ЦИС мет ТПР Б25";"Изделия и компоненты";"Total";
"Стандарт.#26";"Варианты комплектации";"ЦИС мет ТПР Б25";
"Тележка Б25.#102";"Прямые компоненты";"Стандарт.#26";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#103";"Прямые компоненты";"Стандарт.#26";"Комплект СВЛ с УЗ01К"
"ЦИС нб Б25";"Изделия и компоненты";"Total";
"Стандарт.#27";"Варианты комплектации";"ЦИС нб Б25";
"Тележка Б25.#105";"Прямые компоненты";"Стандарт.#27";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#106";"Прямые компоненты";"Стандарт.#27";"Комплект СВЛ с УЗ01К"
"ЦИС нп омега Б25";"Изделия и компоненты";"Total";
"ЦИС ск Б25";"Изделия и компоненты";"Total";
"Стандарт.#29";"Варианты комплектации";"ЦИС ск Б25";
"Тележка Б25.#111";"Прямые компоненты";"Стандарт.#29";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#112";"Прямые компоненты";"Стандарт.#29";"Комплект СВЛ с УЗ01К"
"ЦИС спирт Б25";"Изделия и компоненты";"Total";
"Стандарт.#30";"Варианты комплектации";"ЦИС спирт Б25";
"Тележка Б25.#114";"Прямые компоненты";"Стандарт.#30";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#115";"Прямые компоненты";"Стандарт.#30";"Комплект СВЛ с УЗ01К"
"ЦИС эт 1Т Б25";"Изделия и компоненты";"Total";
"ЦИС цем Б25";"Изделия и компоненты";"Total";
"Стандарт.#32";"Варианты комплектации";"ЦИС цем Б25";
"Тележка Б25.#120";"Прямые компоненты";"Стандарт.#32";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#121";"Прямые компоненты";"Стандарт.#32";"Комплект СВЛ с УЗ01К"
"ЦИС ск Чили";"Изделия и компоненты";"Total";
"ЦИС рс Б25";"Изделия и компоненты";"Total";
"Стандарт.#34";"Варианты комплектации";"ЦИС рс Б25";
"Тележка Б25.#126";"Прямые компоненты";"Стандарт.#34";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#127";"Прямые компоненты";"Стандарт.#34";"Комплект СВЛ с УЗ01К"
"ЦИС бит Б25";"Изделия и компоненты";"Total";
"ЦИС кау Б25";"Изделия и компоненты";"Total";
"Стандарт.#36";"Варианты комплектации";"ЦИС кау Б25";
"Тележка Б25.#132";"Прямые компоненты";"Стандарт.#36";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#133";"Прямые компоненты";"Стандарт.#36";"Комплект СВЛ с УЗ01К"
"ЦИС олеум Б25";"Изделия и компоненты";"Total";
"ЦИС пек Б25";"Изделия и компоненты";"Total";
"ЦИС солк Б25";"Изделия и компоненты";"Total";
"ЦИС хим Б25";"Изделия и компоненты";"Total";
"Стандарт.#40";"Варианты комплектации";"ЦИС хим Б25";
"Тележка Б25.#144";"Прямые компоненты";"Стандарт.#40";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#145";"Прямые компоненты";"Стандарт.#40";"Комплект СВЛ с УЗ01К"
"ЦИС СУГ соч Б25";"Изделия и компоненты";"Total";
"Стандарт.#41";"Варианты комплектации";"ЦИС СУГ соч Б25";
"Тележка Б25.#147";"Прямые компоненты";"Стандарт.#41";"Тележка Б25"
"Комплект СВЛ стд.#148";"Прямые компоненты";"Стандарт.#41";"Комплект СВЛ стд"
"ЦИС амм ТПР Б25";"Изделия и компоненты";"Total";
"Стандарт.#42";"Варианты комплектации";"ЦИС амм ТПР Б25";
"Тележка Б25.#150";"Прямые компоненты";"Стандарт.#42";"Тележка Б25"
"Комплект СВЛ с УЗ01К.#151";"Прямые компоненты";"Стандарт.#42";"Комплект СВЛ с УЗ01К"
"ЦИС жхлор Б25";"Изделия и компоненты";"Total";
"ЦИС суг 12М Б25";"Изделия и компоненты";"Total";
"ЦИС суг 18М 1Т Б25";"Изделия и компоненты";"Total";
"ЦИС суг 18М Б25";"Изделия и компоненты";"Total";
"ЦИС суг соч 163,1м Б25";"Изделия и компоненты";"Total";
"ЦИС хлор Б25";"Изделия и компоненты";"Total";
"Котел ЦИС пр нрж";"Изделия и компоненты";"Total";
"Тележка Б25";"Изделия и компоненты";"Total";
"Стандарт.#5";"Варианты комплектации";"Тележка Б25";
"РБ ЦДЛР.9855.00.02.000.#17";"Прямые компоненты";"Стандарт.#5";"РБ ЦДЛР.9855.00.02.000"
"БН ЦДЛР.9855.00.01.000.#18";"Прямые компоненты";"Стандарт.#5";"БН ЦДЛР.9855.00.01.000"
"Колесная пара 25 т.#19";"Прямые компоненты";"Стандарт.#5";"Колесная пара 25 т"
"Пружина 9855.00.00.001.#20";"Прямые компоненты";"Стандарт.#5";"Пружина 9855.00.00.001"
"Пружина 9855.00.00.002.#21";"Прямые компоненты";"Стандарт.#5";"Пружина 9855.00.00.002"
"Пружина 9855.00.00.003.#22";"Прямые компоненты";"Стандарт.#5";"Пружина 9855.00.00.003"
"Пружина 9855.00.00.004.#23";"Прямые компоненты";"Стандарт.#5";"Пружина 9855.00.00.004"
"Пружина 9855.00.03.003.#24";"Прямые компоненты";"Стандарт.#5";"Пружина 9855.00.03.003"
"Пружина 9855.00.03.004.#221";"Прямые компоненты";"Стандарт.#5";"Пружина 9855.00.03.004"
"Скользун ЦДЛР 9855.00.03.000.#220";"Прямые компоненты";"Стандарт.#5";"Скользун ЦДЛР 9855.00.03.000"
"Адаптер подшипника 4536-07.00.00.001.#219";"Прямые компоненты";"Стандарт.#5";"Адаптер подшипника 4536-07.00.00.001"
"Клин 4536-07.00.00.003.#218";"Прямые компоненты";"Стандарт.#5";"Клин 4536-07.00.00.003"
"Клин 4536-07.00.00.003-01.#25";"Прямые компоненты";"Стандарт.#5";"Клин 4536-07.00.00.003-01"
"Доп1.#108";"Варианты комплектации";"Тележка Б25";
"РБ 4536-07.00.02.000.#226";"Прямые компоненты";"Доп1.#108";"РБ 4536-07.00.02.000"
"БН 4701-09.00.01.000.#227";"Прямые компоненты";"Доп1.#108";"БН 4701-09.00.01.000"
"Колесная пара 25 т.#228";"Прямые компоненты";"Доп1.#108";"Колесная пара 25 т"
"Пружина 4536-07.00.00.004-02.#229";"Прямые компоненты";"Доп1.#108";"Пружина 4536-07.00.00.004-02"
"Пружина 4536-07.00.00.005-02.#230";"Прямые компоненты";"Доп1.#108";"Пружина 4536-07.00.00.005-02"
"Пружина 4536-07.00.00.006-02.#231";"Прямые компоненты";"Доп1.#108";"Пружина 4536-07.00.00.006-02"
"Пружина 4536-07.00.00.007-02.#232";"Прямые компоненты";"Доп1.#108";"Пружина 4536-07.00.00.007-02"
"Пружина 9855.00.03.003.#233";"Прямые компоненты";"Доп1.#108";"Пружина 9855.00.03.003"
"Пружина 9855.00.03.004.#234";"Прямые компоненты";"Доп1.#108";"Пружина 9855.00.03.004"
"Скользун ЦДЛР 9855.00.03.000.#235";"Прямые компоненты";"Доп1.#108";"Скользун ЦДЛР 9855.00.03.000"
"Адаптер подшипника 4536-07.00.00.001.#236";"Прямые компоненты";"Доп1.#108";"Адаптер подшипника 4536-07.00.00.001"
"Клин 4536-07.00.00.003.#237";"Прямые компоненты";"Доп1.#108";"Клин 4536-07.00.00.003"
"Клин 4536-07.00.00.003-01.#238";"Прямые компоненты";"Доп1.#108";"Клин 4536-07.00.00.003-01"
"Доп2.#6";"Варианты комплектации";"Тележка Б25";
"РБ 4536-07.00.02.000.#26";"Прямые компоненты";"Доп2.#6";"РБ 4536-07.00.02.000"
"БН 4701-09.00.01.000.#27";"Прямые компоненты";"Доп2.#6";"БН 4701-09.00.01.000"
"Колесная пара 25 т.#28";"Прямые компоненты";"Доп2.#6";"Колесная пара 25 т"
"Пружина 4536-07.00.00.004-02.#29";"Прямые компоненты";"Доп2.#6";"Пружина 4536-07.00.00.004-02"
"Пружина 4536-07.00.00.005-02.#30";"Прямые компоненты";"Доп2.#6";"Пружина 4536-07.00.00.005-02"
"Пружина 4536-07.00.00.006-02.#31";"Прямые компоненты";"Доп2.#6";"Пружина 4536-07.00.00.006-02"
"Пружина 4536-07.00.00.007-02.#32";"Прямые компоненты";"Доп2.#6";"Пружина 4536-07.00.00.007-02"
"Пружина 4536-07.00.03.003-02.#33";"Прямые компоненты";"Доп2.#6";"Пружина 4536-07.00.03.003-02"
"Пружина 4536-07.00.03.010-02.#225";"Прямые компоненты";"Доп2.#6";"Пружина 4536-07.00.03.010-02"
"Скользун 4536-07.00.03.000.#224";"Прямые компоненты";"Доп2.#6";"Скользун 4536-07.00.03.000"
"Адаптер подшипника 4536-07.00.00.001.#223";"Прямые компоненты";"Доп2.#6";"Адаптер подшипника 4536-07.00.00.001"
"Клин 4536-07.00.00.003.#222";"Прямые компоненты";"Доп2.#6";"Клин 4536-07.00.00.003"
"Клин 4536-07.00.00.003-01.#34";"Прямые компоненты";"Доп2.#6";"Клин 4536-07.00.00.003-01"
"Тележка Б27";"Изделия и компоненты";"Total";
"Тележка Y25";"Изделия и компоненты";"Total";
"Стандарт.#90";"Варианты комплектации";"Тележка Y25";
"Колесная пара BA.#188";"Прямые компоненты";"Стандарт.#90";"Колесная пара BA"
"Пружина внутренняя 2 Fwg 696.0.06.023.001.#253";"Прямые компоненты";"Стандарт.#90";"Пружина внутренняя 2 Fwg 696.0.06.023.001"
"Пружина наружная 2 Fwg 696.0.06.023.002.#251";"Прямые компоненты";"Стандарт.#90";"Пружина наружная 2 Fwg 696.0.06.023.002"
"Тележка МК25";"Изделия и компоненты";"Total";
"Стандарт.#109";"Варианты комплектации";"Тележка МК25";
"Колесная пара 25 т.#239";"Прямые компоненты";"Стандарт.#109";"Колесная пара 25 т"
"БН ЦДЛР.3915.01.00.000.#240";"Прямые компоненты";"Стандарт.#109";"БН ЦДЛР.3915.01.00.000"
"РБ ЦДЛР.3915.02.00.000.#241";"Прямые компоненты";"Стандарт.#109";"РБ ЦДЛР.3915.02.00.000"
"Клин ЦДЛР.3915.00.00.00.#242";"Прямые компоненты";"Стандарт.#109";"Клин ЦДЛР.3915.00.00.00"
"Адаптер M1771 и М43316-1.#243";"Прямые компоненты";"Стандарт.#109";"Адаптер M1771 и М43316-1"
"Скользун ЦДЛР 9855.00.03.000.#244";"Прямые компоненты";"Стандарт.#109";"Скользун ЦДЛР 9855.00.03.000"
"Пружина 9855.00.03.003.#245";"Прямые компоненты";"Стандарт.#109";"Пружина 9855.00.03.003"
"Пружина 9855.00.03.004.#246";"Прямые компоненты";"Стандарт.#109";"Пружина 9855.00.03.004"
"Пружина 9855.00.00.001.#247";"Прямые компоненты";"Стандарт.#109";"Пружина 9855.00.00.001"
"Пружина 9855.00.00.002.#248";"Прямые компоненты";"Стандарт.#109";"Пружина 9855.00.00.002"
"Пружина 9855.00.00.003.#249";"Прямые компоненты";"Стандарт.#109";"Пружина 9855.00.00.003"
"Пружина 9855.00.00.004.#250";"Прямые компоненты";"Стандарт.#109";"Пружина 9855.00.00.004"
"Колесо 25т";"Изделия и компоненты";"Total";
"Колесная пара 25 т";"Изделия и компоненты";"Total";
"Стандарт.#10";"Варианты комплектации";"Колесная пара 25 т";
"Колесо 25т.#52";"Прямые компоненты";"Стандарт.#10";"Колесо 25т"
"Ось 25т.#53";"Прямые компоненты";"Стандарт.#10";"Ось 25т"
"Колесная пара 27 т";"Изделия и компоненты";"Total";
"Колесная пара BA";"Изделия и компоненты";"Total";
"Ось 25т";"Изделия и компоненты";"Total";
"Ось 27т";"Изделия и компоненты";"Total";
"Пружины локомотивные";"Изделия и компоненты";"Total";
"Пружины жд";"Изделия и компоненты";"Total";
"Пружины автомобильные";"Изделия и компоненты";"Total";
"Пружины прочие";"Изделия и компоненты";"Total";
"РБ";"Изделия и компоненты";"Total";
"Рама боковая";"Изделия и компоненты";"Total";
"Рама боковая 4536";"Изделия и компоненты";"Total";
"РБ 2715";"Изделия и компоненты";"Total";
"РБ 4415";"Изделия и компоненты";"Total";
"РБ 4914";"Изделия и компоненты";"Total";
"РБ 4536--";"Изделия и компоненты";"Total";
"РБ 4915";"Изделия и компоненты";"Total";
"РБ 4916";"Изделия и компоненты";"Total";
"РБ 4917";"Изделия и компоненты";"Total";
"РБ 4918";"Изделия и компоненты";"Total";
"РБ 4919";"Изделия и компоненты";"Total";
"РБ 4920";"Изделия и компоненты";"Total";
"РБ 4921";"Изделия и компоненты";"Total";
"РБ 4922";"Изделия и компоненты";"Total";
"РБ 4923";"Изделия и компоненты";"Total";
"РБ 9855";"Изделия и компоненты";"Total";
"РБ F-1121";"Изделия и компоненты";"Total";
"РБ R-78221";"Изделия и компоненты";"Total";
"РБ R-78227";"Изделия и компоненты";"Total";
"Рама ПЛ 60фт Мавритания";"Изделия и компоненты";"Total";
"БН";"Изделия и компоненты";"Total";
"Балка надрессорная";"Изделия и компоненты";"Total";
"Балка надрессорная 4536";"Изделия и компоненты";"Total";
"БН 2715";"Изделия и компоненты";"Total";
"БН 4415";"Изделия и компоненты";"Total";
"БН 4536";"Изделия и компоненты";"Total";
"БН 4701";"Изделия и компоненты";"Total";
"БН 4914";"Изделия и компоненты";"Total";
"БН 9855";"Изделия и компоненты";"Total";
"БН F-1122";"Изделия и компоненты";"Total";
"БН R-78220";"Изделия и компоненты";"Total";
"БН R-78224";"Изделия и компоненты";"Total";
"(не использовать) СВЛ";"Изделия и компоненты";"Total";
"(не использовать) СВЛ 2";"Изделия и компоненты";"Total";
"Изделия металлические";"Изделия и компоненты";"Total";
"Изделия металлические - Тринити";"Изделия и компоненты";"Total";
"Детали плазмы, вальцовки";"Изделия и компоненты";"Total";
"Износостойкие элементы Тринити";"Изделия и компоненты";"Total";
"Детали плазмы";"Изделия и компоненты";"Total";
"Детали штамповки";"Изделия и компоненты";"Total";
"Детали плазмы, сверловки, фаски";"Изделия и компоненты";"Total";
"Детали плазмы, сверловки";"Изделия и компоненты";"Total";
"Детали плазмы, вальцовки, сварки";"Изделия и компоненты";"Total";
"Детали порезки, снятия фаски";"Изделия и компоненты";"Total";
"Детали плазмы, гибки, сварки";"Изделия и компоненты";"Total";
"Подшипники";"Изделия и компоненты";"Total";
"Метизы";"Изделия и компоненты";"Total";
"ЖД комплектующие";"Изделия и компоненты";"Total";
"Колпары";"Изделия и компоненты";"Total";
"КВЛ";"Изделия и компоненты";"Total";
"Прочее СВЛ";"Изделия и компоненты";"Total";
"МВЛ Тринити";"Изделия и компоненты";"Total";
"СВЛ Тринити";"Изделия и компоненты";"Total";
"КВЛ Wabtec";"Изделия и компоненты";"Total";
"ВЧ";"Изделия и компоненты";"Total";
"Тележки";"Изделия и компоненты";"Total";
"Триангель";"Изделия и компоненты";"Total";
"Износостойкие элементы";"Изделия и компоненты";"Total";
"Комплект СВЛ стд";"Изделия и компоненты";"Total";
"Стандарт.#8";"Варианты комплектации";"Комплект СВЛ стд";
"Автосцепка в сборе.#43";"Прямые компоненты";"Стандарт.#8";"Автосцепка в сборе"
"Упор задний УЗ1К.#44";"Прямые компоненты";"Стандарт.#8";"Упор задний УЗ1К"
"Упор передний УП1К.#45";"Прямые компоненты";"Стандарт.#8";"Упор передний УП1К"
"Хомут тяговый.#47";"Прямые компоненты";"Стандарт.#8";"Хомут тяговый"
"Комплект СВЛ стд+надпятник";"Изделия и компоненты";"Total";
"Стандарт.#17";"Варианты комплектации";"Комплект СВЛ стд+надпятник";
"Надпятник.#72";"Прямые компоненты";"Стандарт.#17";"Надпятник"
"Хомут тяговый.#71";"Прямые компоненты";"Стандарт.#17";"Хомут тяговый"
"Упор передний УП1К.#70";"Прямые компоненты";"Стандарт.#17";"Упор передний УП1К"
"Упор задний УЗ1К.#69";"Прямые компоненты";"Стандарт.#17";"Упор задний УЗ1К"
"Автосцепка в сборе.#68";"Прямые компоненты";"Стандарт.#17";"Автосцепка в сборе"
"Комплект СВЛ с УЗ01К";"Изделия и компоненты";"Total";
"Стандарт.#9";"Варианты комплектации";"Комплект СВЛ с УЗ01К";
"Автосцепка в сборе.#48";"Прямые компоненты";"Стандарт.#9";"Автосцепка в сборе"
"Упор передний УП1К.#49";"Прямые компоненты";"Стандарт.#9";"Упор передний УП1К"
"Упор с надпятником УЗ01К.#50";"Прямые компоненты";"Стандарт.#9";"Упор с надпятником УЗ01К"
"Хомут тяговый.#51";"Прямые компоненты";"Стандарт.#9";"Хомут тяговый"
"Автосцепка в сборе";"Изделия и компоненты";"Total";
"(не использовать) Автосцепка в сборе";"Изделия и компоненты";"Total";
"(не использовать) Упор с надпятником";"Изделия и компоненты";"Total";
"Упор задний УЗ1К (отливка)";"Изделия и компоненты";"Total";
"Упор задний УЗ1К";"Изделия и компоненты";"Total";
"Упор передний УП1К (отливка)";"Изделия и компоненты";"Total";
"Упор передний УП1К";"Изделия и компоненты";"Total";
"Упор с надпятником УЗ01К (отливка)";"Изделия и компоненты";"Total";
"Упор с надпятником УЗ01К";"Изделия и компоненты";"Total";
"Хомут тяговый";"Изделия и компоненты";"Total";
"Надпятник (отливка)";"Изделия и компоненты";"Total";
"Надпятник";"Изделия и компоненты";"Total";
"SAC поводковая";"Изделия и компоненты";"Total";
"SAC пятниковая";"Изделия и компоненты";"Total";
"Компоненты рамы";"Изделия и компоненты";"Total";
"ХБ";"Изделия и компоненты";"Total";
"Литая консоль";"Изделия и компоненты";"Total";
"Пружина №1";"Изделия и компоненты";"Total";
"Пружина №2";"Изделия и компоненты";"Total";
"Пружина №3";"Изделия и компоненты";"Total";
"Пружина №4";"Изделия и компоненты";"Total";
"Пружина №5";"Изделия и компоненты";"Total";
"Пружина №6";"Изделия и компоненты";"Total";
"Пружина .004 - 55С2";"Изделия и компоненты";"Total";
"Пружина .005 - 55С2";"Изделия и компоненты";"Total";
"Пружина .006 - 55С2";"Изделия и компоненты";"Total";
"Пружина .007 - 55С2";"Изделия и компоненты";"Total";
"Пружина .003 - 55С2";"Изделия и компоненты";"Total";
"Пружина .010 - 55С2";"Изделия и компоненты";"Total";
"Пружина 9855.001";"Изделия и компоненты";"Total";
"Пружина 9855.002";"Изделия и компоненты";"Total";
"Пружина 9855.003";"Изделия и компоненты";"Total";
"Пружина 9855.004";"Изделия и компоненты";"Total";
"Пружина 9855.03.003";"Изделия и компоненты";"Total";
"Пружина 9855.03.004";"Изделия и компоненты";"Total";
"Пружина 4536-07.00.00.004-02";"Изделия и компоненты";"Total";
"Пружина 4536-07.00.00.005-02";"Изделия и компоненты";"Total";
"Пружина 4536-07.00.00.006-02";"Изделия и компоненты";"Total";
"Пружина 4536-07.00.00.007-02";"Изделия и компоненты";"Total";
"Пружина 4536-07.00.03.003-02";"Изделия и компоненты";"Total";
"Пружина 4536-07.00.03.010-02";"Изделия и компоненты";"Total";
"Пружина 9855.00.00.001";"Изделия и компоненты";"Total";
"Пружина 9855.00.00.002";"Изделия и компоненты";"Total";
"Пружина 9855.00.00.003";"Изделия и компоненты";"Total";
"Пружина 9855.00.00.004";"Изделия и компоненты";"Total";
"Пружина 9855.00.03.003";"Изделия и компоненты";"Total";
"Пружина 9855.00.03.004";"Изделия и компоненты";"Total";
"Пружина внутренняя 2 Fwg 696.0.06.023.001";"Изделия и компоненты";"Total";
"Пружина наружная 2 Fwg 696.0.06.023.002";"Изделия и компоненты";"Total";
"Клин 4536-07.00.00.003";"Изделия и компоненты";"Total";
"Клин 4536-07.00.00.003-01";"Изделия и компоненты";"Total";
"Клин ЦДЛР.3915.00.00.00";"Изделия и компоненты";"Total";
"Адаптер M1771 и М43316-1";"Изделия и компоненты";"Total";
"Адаптер подшипника 4536-07.00.00.001";"Изделия и компоненты";"Total";
"БН 4701-09.00.01.000";"Изделия и компоненты";"Total";
"БН ЦДЛР.3915.01.00.000";"Изделия и компоненты";"Total";
"БН ЦДЛР.9855.00.01.000";"Изделия и компоненты";"Total";
"РБ 4536-07.00.02.000";"Изделия и компоненты";"Total";
